time,magnitude,user_id
0,2733,880
89,1368,163
1821,1817,466
1992,2204,1280
2271,2282,1297
2642,2381,912
3311,198,1665
4601,3841,567
4822,451,660
6845,1921,1041
7312,14901,1074
7478,1074,1185
8052,1677,323
8186,354,1463
8229,750,3
8467,927,766
9036,11976,302
9058,1148,761
9396,2302,998
9571,1750,1224
9804,1676,366
10332,2849,1553
10859,2830,1061
12756,711,1179
15521,2632,75
15703,1285,550
16403,2599,1634
17213,370,767
17778,2720,18
17871,3685,1150
20140,3642,1173
20670,3209,1540
21323,1765,836
23584,806,1104
27308,314,586
30104,2521,1257
30682,4235,1447
30729,1487,823
32252,349,1238
32519,1305,1008
33478,2367,149
33850,2225,709
34122,884,551
34697,1241,1362
35300,2483,112
38048,1436,691
79750,1709,915
79765,9010,811
80476,1068,1159
89196,292,1106
